server.32014	client.1-20204
server.32155	client.2-22002
server.1361	client.3-18611
server.3959	client.4-31843
server.27672	client.5-19821
server.22881	client.6-28835
server.7211	client.7-648
server.16569	client.8-12799
server.26052	client.9-14739
server.29872	client.10-23557
server.20750	client.11-5097
server.19362	client.12-3011
server.26633	client.13-12852
server.628	client.14-15970
server.19770	client.15-20444
server.30386	client.16-24596
server.31031	client.17-16831
server.28528	client.18-23476
server.11952	client.19-19970
server.6334	client.20-6369
server.31893	client.21-9468
server.15585	client.22-24974
server.18992	client.23-12302
server.5626	client.24-3415
server.22648	client.25-18592
server.11412	client.26-13722
server.20828	client.27-897
server.5452	client.28-22114
server.30312	client.29-21497
server.3407	client.30-17787
server.16021	client.31-25220
server.24607	client.32-16138
server.19218	client.33-11657
server.4822	client.34-19082
server.13936	client.35-11855
server.31866	client.36-20680
server.31482	client.37-20485
server.780	client.38-17697
server.31553	client.39-7050
server.3988	client.40-21446
server.7625	client.41-8482
server.32345	client.42-25603
server.19613	client.43-5968
server.30365	client.44-17093
server.25002	client.45-11037
server.7844	client.46-26699
server.12889	client.47-20506
server.10544	client.48-14371
server.17773	client.49-7493
server.28569	client.50-347
server.16664	client.51-26865
server.23327	client.52-9838
server.9609	client.53-5234
server.31446	client.54-9231
server.32505	client.55-13512
server.30575	client.56-21283
server.30457	client.57-10715
server.17586	client.58-8417
server.22844	client.59-18459
server.10175	client.60-18792
server.31999	client.61-31275
server.28874	client.62-3571
server.9524	client.63-8822
server.11819	client.64-15659
server.6879	client.65-27114
server.22456	client.66-4081
server.19303	client.67-2057
server.19819	client.68-28451
server.4553	client.69-20817
server.31021	client.70-7446
server.15096	client.71-13643
server.7777	client.72-13236
server.4950	client.73-7696
server.24908	client.74-31896
server.9676	client.75-6974
server.11357	client.76-14488
server.24208	client.77-707
server.3862	client.78-5304
server.6253	client.79-29430
server.20473	client.80-13375
server.23921	client.81-20112
server.1725	client.82-32663
server.21500	client.83-8104
server.7983	client.84-6926
server.22240	client.85-26315
server.28829	client.86-8430
server.12777	client.87-29232
server.24099	client.88-32299
server.2497	client.89-7091
server.12025	client.90-11299
server.22540	client.91-16625
server.15180	client.92-16546
server.6929	client.93-12295
server.23700	client.94-13863
server.386	client.95-6977
server.26184	client.96-13393
server.25392	client.97-14448
server.28071	client.98-18950
server.5050	client.99-23661
server.18529	client.100-4196
server.16288	client.101-18967
server.2630	client.102-6561
server.17941	client.103-25444
server.6117	client.104-29820
server.13302	client.105-32345
server.22424	client.106-23533
server.31985	client.107-21978
server.81	client.108-5590
server.24521	client.109-12540
